"Daily Weather Observations for Canberra, Australian Capital Territory for March 2021"
"Prepared at 16:01 UTC on Sunday 16 May 2021   IDCJDW2801.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,10.1,29.2,0,,,WNW,54,13:29,14.2,99,7,ENE,7,1010.4,28.1,26,,WNW,35,1007.0
,2021-03-2,5.4,25.1,0,,,E,43,18:06,15.1,61,,SSE,15,1011.3,22.9,28,,SW,13,1009.8
,2021-03-3,9.9,23.3,0,,,E,37,18:56,12.3,59,8,SE,13,1016.0,21.5,28,,N,9,1013.2
,2021-03-4,8.2,26.2,0,,,WNW,44,15:59,13.0,69,,ESE,2,1014.4,24.7,33,,WNW,20,1009.4
,2021-03-5,6.2,26.5,0,,,E,39,20:10,14.5,65,, ,Calm,1008.2,25.9,26,,WSW,13,1006.3
,2021-03-6,7.2,24.2,0,,,E,44,18:35,12.2,58,8,SE,17,1013.0,21.9,33,,NE,7,1010.5
,2021-03-7,6.1,27.0,0,,,WNW,37,14:14,13.0,79,,S,4,1014.5,26.1,33,,NNW,17,1010.4
,2021-03-8,12.1,27.7,0.2,,,WNW,59,14:33,15.4,86,8,ESE,7,1011.7,25.6,39,8,NW,20,1008.5
,2021-03-9,7.2,27.5,3.0,,,NW,46,13:57,17.8,65,,N,13,1012.3,26.4,33,,NNW,31,1011.5
,2021-03-10,12.9,27.0,0,,,S,50,14:40,17.1,76,7,NE,7,1020.3,26.0,39,5,N,11,1017.8
,2021-03-11,13.6,25.7,0,,,NW,43,14:42,18.2,77,5, ,Calm,1021.3,23.2,53,8,WNW,11,1017.3
,2021-03-12,16.3,27.0,11.2,,,ESE,28,18:07,18.4,91,8,SE,6,1018.2,25.1,51,,WNW,11,1014.6
,2021-03-13,12.8,30.1,0,,,NW,43,13:08,16.7,100,6, ,Calm,1014.5,28.4,39,,WNW,22,1009.7
,2021-03-14,10.9,15.9,9.8,,,S,39,07:25,11.2,99,8,S,19,1013.8,13.6,67,8,SSE,13,1016.0
,2021-03-15,3.5,22.1,10.8,,,ENE,30,18:55,8.5,77,,SE,9,1022.6,20.3,33,,S,9,1020.0
,2021-03-16,6.7,20.5,0,,,SE,31,11:20,12.4,85,8,SE,9,1026.0,19.5,55,8,ESE,15,1024.0
,2021-03-17,10.5,17.5,0,,,SSE,31,07:44,13.8,82,8,SSE,15,1025.9,15.3,81,8,ESE,19,1024.8
,2021-03-18,13.3,21.7,0.2,,,ESE,48,09:46,15.8,89,8,SSE,11,1025.6,21.1,63,8,E,30,1024.3
,2021-03-19,13.9,20.7,0.2,,,E,44,14:23,16.4,77,8,SE,20,1027.2,17.3,92,8,E,17,1026.1
,2021-03-20,14.1,20.7,2.6,,,SE,46,12:41,15.9,82,8,SSE,20,1025.8,19.4,72,8,SE,26,1022.8
,2021-03-21,15.5,17.9,11.2,,,E,46,07:58,16.6,88,8,E,22,1024.6,17.2,90,8,ENE,17,1023.5
,2021-03-22,14.9,16.7,5.8,,,E,37,08:57,15.4,92,8,E,13,1022.1,16.1,93,8,ESE,15,1018.8
,2021-03-23,14.3,18.6,30.6,,,NW,37,23:00,15.6,99,8,ESE,13,1007.0,18.0,99,8,ESE,13,999.6
,2021-03-24,15.6,19.8,23.8,,,NW,52,09:13,18.1,79,6,NW,30,998.7,18.9,66,8,NW,28,998.7
,2021-03-25,14.0,22.6,0,,,WNW,52,12:40,16.4,93,8,NNW,19,1003.2,21.5,45,,WNW,31,1004.1
,2021-03-26,4.4,21.4,0,,,NW,37,12:58,10.6,84,, ,Calm,1013.8,20.3,45,4,WNW,17,1010.7
,2021-03-27,5.9,21.6,0,,,NW,48,11:06,12.3,84,3, ,Calm,1013.2,20.7,48,1,NW,31,1010.5
,2021-03-28,4.4,21.0,0.8,,,NW,33,13:22,10.3,99,, ,Calm,1017.5,19.1,42,,NW,20,1015.0
,2021-03-29,3.2,22.4,0,,,ENE,31,18:26,9.2,85,, ,Calm,1020.6,21.9,38,,WNW,7,1018.1
,2021-03-30,9.2,22.6,0,,,SSE,26,04:56,11.4,68,1,SSE,13,1024.1,19.5,31,3,S,9,1021.4
,2021-03-31,4.4,23.4,0,,,ENE,30,17:58,9.9,86,,SSE,9,1025.0,21.6,29,,NNW,9,1021.9
